id,name,category,description,foundedYear,director_name,director_title,services,audience,locations,contact_phone,contact_email,contact_website,tags,memberOf,orgId,region
fafa-1,"Fédération des aînés franco-albertains (FAFA)","francophonie;vie communautaire;defense des droits;bien etre;services sociaux","Organisme provincial visant à améliorer la qualité de vie des aînés francophones en Alberta, favoriser leur engagement communautaire et lutter contre l’isolement.",1991,David Caron,Directeur,"Défense des droits des aînés;Ateliers de mieux-être;Activités culturelles et intergénérationnelles;Lutte contre l’isolement;Conférences et forums;Soutien aux clubs d’aînés;Information et bulletins en français;Service d’aide et de visite aux aînés (SAVA)","Francophones et francophiles de 50 ans et plus","Edmonton|Campus Saint-Jean, 8406 Rue Marie-Anne Gaboury, Edmonton, AB|53.5215554|-113.469015",780-465-8965,fafa@fafa.ab.ca,https://www.fafalta.ca,"ainés;francophone;soutien;communautaire;santé","RIFA",fafa,centre
fafa-2,"Fédération des aînés franco-albertains (FAFA)","francophonie;vie communautaire;defense des droits;bien etre;services sociaux","Organisme provincial visant à améliorer la qualité de vie des aînés francophones en Alberta, favoriser leur engagement communautaire et lutter contre l’isolement.",1991,David Caron,Directeur,"Défense des droits des aînés;Ateliers de mieux-être;Activités culturelles et intergénérationnelles;Lutte contre l’isolement;Conférences et forums;Soutien aux clubs d’aînés;Information et bulletins en français;Service d’aide et de visite aux aînés (SAVA)","Francophones et francophiles de 50 ans et plus","Calgary|Centre d'accueil francophone, 1006 2 Ave SW, Calgary, AB|51.0517091|-114.0794171",780-465-8965,fafa@fafa.ab.ca,https://www.fafalta.ca,"ainés;francophone;soutien;communautaire;santé","RIFA",fafa,sud
fafa-3,"Fédération des aînés franco-albertains (FAFA)","francophonie;vie communautaire;defense des droits;bien etre;services sociaux","Organisme provincial visant à améliorer la qualité de vie des aînés francophones en Alberta, favoriser leur engagement communautaire et lutter contre l’isolement.",1991,David Caron,Directeur,"Défense des droits des aînés;Ateliers de mieux-être;Activités culturelles et intergénérationnelles;Lutte contre l’isolement;Conférences et forums;Soutien aux clubs d’aînés;Information et bulletins en français;Service d’aide et de visite aux aînés (SAVA)","Francophones et francophiles de 50 ans et plus","Lethbridge|Centre La Cité des Prairies, Lethbridge, AB|49.6910003|-112.8107661",780-465-8965,fafa@fafa.ab.ca,https://www.fafalta.ca,"ainés;francophone;soutien;communautaire;santé","RIFA",fafa,sud
fafa-4,"Fédération des aînés franco-albertains (FAFA)","francophonie;vie communautaire;defense des droits;bien etre;services sociaux","Organisme provincial visant à améliorer la qualité de vie des aînés francophones en Alberta, favoriser leur engagement communautaire et lutter contre l’isolement.",1991,David Caron,Directeur,"Défense des droits des aînés;Ateliers de mieux-être;Activités culturelles et intergénérationnelles;Lutte contre l’isolement;Conférences et forums;Soutien aux clubs d’aînés;Information et bulletins en français;Service d’aide et de visite aux aînés (SAVA)","Francophones et francophiles de 50 ans et plus","Red Deer|Downtown Red Deer, Red Deer, AB|52.2696584|-113.8138416",780-465-8965,fafa@fafa.ab.ca,https://www.fafalta.ca,"ainés;francophone;soutien;communautaire;santé","RIFA",fafa,centre
fafa-5,"Fédération des aînés franco-albertains (FAFA)","francophonie;vie communautaire;defense des droits;bien etre;services sociaux","Organisme provincial visant à améliorer la qualité de vie des aînés francophones en Alberta, favoriser leur engagement communautaire et lutter contre l’isolement.",1991,David Caron,Directeur,"Défense des droits des aînés;Ateliers de mieux-être;Activités culturelles et intergénérationnelles;Lutte contre l’isolement;Conférences et forums;Soutien aux clubs d’aînés;Information et bulletins en français;Service d’aide et de visite aux aînés (SAVA)","Francophones et francophiles de 50 ans et plus","Wood Buffalo (Fort McMurray)|Downtown Fort McMurray, AB|56.72476|-111.37742",780-465-8965,fafa@fafa.ab.ca,https://www.fafalta.ca,"ainés;francophone;soutien;communautaire;santé","RIFA",fafa,nord
fmi-1,"Femme Moderne Influente (FMI)","francophonie;vie communautaire;entrepreneuriat;carriere;bien etre","Organisation dédiée à l’autonomisation des femmes francophones afin de surmonter les obstacles et réaliser leur plein potentiel, en favorisant le leadership, l’entrepreneuriat et l’engagement communautaire.",,Safia Bella Moke,Fondatrice et directrice,"Entrepreneuriat et développement des affaires;Développement professionnel et avancement de carrière;Développement personnel et bien-être;Autonomisation et réseautage communautaire;Mentorat entrepreneurial;Ateliers pratiques et formations","Femmes francophones (entrepreneures, professionnelles et femmes engagées)","Edmonton|Downtown Edmonton, AB|53.5409352|-113.508449",780-708-1024,info@femmemoderneinfluente.ca,https://femmemoderneinfluente.ca,"femmes;entrepreneuriat;leadership;santé mentale;réseautage;francophone","RIFA",fmi,centre
fmi-2,"Femme Moderne Influente (FMI)","francophonie;vie communautaire;entrepreneuriat;carriere;bien etre","Organisation dédiée à l’autonomisation des femmes francophones afin de surmonter les obstacles et réaliser leur plein potentiel, en favorisant le leadership, l’entrepreneuriat et l’engagement communautaire.",,Safia Bella Moke,Fondatrice et directrice,"Entrepreneuriat et développement des affaires;Développement professionnel et avancement de carrière;Développement personnel et bien-être;Autonomisation et réseautage communautaire;Mentorat entrepreneurial;Ateliers pratiques et formations","Femmes francophones (entrepreneures, professionnelles et femmes engagées)","Calgary|Downtown Calgary, AB|51.0478108|-114.0592619",780-708-1024,info@femmemoderneinfluente.ca,https://femmemoderneinfluente.ca,"femmes;entrepreneuriat;leadership;santé mentale;réseautage;francophone","RIFA",fmi,sud
fpfa-1,"Fédération des parents francophones de l’Alberta (FPFA)","francophonie;familles;education;petite enfance;defense des droits","Organisme qui soutient les parents francophones de l’Alberta en les représentant, outillant et rassemblant pour favoriser l’épanouissement des enfants francophones.",,Mireille Péloquin,Directrice générale,"Soutien aux conseils d’école et sociétés de parents francophones;Services de garde éducatifs francophones;Ateliers et formations pour les parents;Programme “Bienvenue Bébé !”;Représentation gouvernementale","Parents francophones, conseils d’école, comités de parents, enfants francophones","Edmonton|Bureau provincial FPFA, Edmonton, AB|53.52248909999999|-113.4663782",780-468-6934,info@fpfa.ab.ca,https://fpfa.ab.ca,"parents;éducation;francophonie;services de garde;ateliers;familles","RIFA",fpfa,centre
fja-1,"Francophonie Jeunesse de l’Alberta (FJA)","francophonie;jeunesse;vie communautaire;education;arts","Organisme qui représente et rassemble la jeunesse d’expression française en Alberta pour renforcer l’engagement et l’épanouissement de ses membres et assurer la persévérance de la francophonie.",1972,Julianna Damer,Directrice générale,"Cours de leadership AAA;Programmes CÉFORT pour conseils étudiants;Équipe Alberta - JeuxFC;Projets communautaires pour jeunes;Service d’animation pour événements communautaires","Jeunes francophones de 14 à 25 ans en Alberta","Edmonton|Cité francophone, Edmonton, AB|53.522441|-113.4663024",780-469-1344,fja@fja.ab.ca,https://fjalberta.ca,"jeunesse;leadership;francophonie;éducation;arts;sports;engagement","RIFA",fja,centre
iglf-2,"Institut Guy-Lacombe de la Famille (IGLF)","francophonie;familles;jeunesse;bien etre;vie communautaire","Organisme francophone soutenant les familles francophones et francophiles d’Edmonton et du nord de l’Alberta, offrant des services pour le développement des enfants, adolescents et parents, le bien-être familial et l’inclusion sociale.",1998,Rihab Alaya,Directrice générale,"Bibliothèque et joujouthèque francophones;Service de garde après-école et journées pédagogiques;Camp d’été Franco-Chouette pour enfants;Camp d’été Ados pour 12-15 ans;Activités familiales et fêtes d’anniversaire en français;Location de salles communautaires;Accompagnement parental et développement familial","Familles francophones et francophiles, enfants 0-18 ans, parents","Edmonton|Institut Guy-Lacombe de la Famille, Edmonton, AB|53.5224248|-113.4665363",780-468-4882,info@iglf.ca,https://institutguylacombe.ca,"famille;enfants;adolescents;éducation;francophonie;développement familial","RIFA",iglf,centre
